C�digo de mesa;Provincia;C�digo municipio;Municipio;Distrito;Secci�n;Mesa;Censo;Primer Avance;Segundo Avance;Total Votantes;Votos Nulos;Votos Blanco;Partido;N� Votos
05-016-2-003-B;AVILA;016;AR�VALO;2;003;B;586;209;321;443;8;9;IR;1
05-016-2-003-B;AVILA;016;AR�VALO;2;003;B;586;209;321;443;8;9;IZ.CA;0
05-016-2-003-B;AVILA;016;AR�VALO;2;003;B;586;209;321;443;8;9;FA;0
05-016-2-003-B;AVILA;016;AR�VALO;2;003;B;586;209;321;443;8;9;FE;0
05-016-2-003-B;AVILA;016;AR�VALO;2;003;B;586;209;321;443;8;9;PH;0
05-016-2-004-U;AVILA;016;AR�VALO;2;004;U;700;205;337;465;4;15;PP;291
05-016-2-004-U;AVILA;016;AR�VALO;2;004;U;700;205;337;465;4;15;PSOE;120
05-016-2-004-U;AVILA;016;AR�VALO;2;004;U;700;205;337;465;4;15;IU-CyL;18
05-016-2-004-U;AVILA;016;AR�VALO;2;004;U;700;205;337;465;4;15;TC-PNC;11
05-016-2-004-U;AVILA;016;AR�VALO;2;004;U;700;205;337;465;4;15;IZ.CA;3
05-016-2-004-U;AVILA;016;AR�VALO;2;004;U;700;205;337;465;4;15;IR;1
05-016-2-004-U;AVILA;016;AR�VALO;2;004;U;700;205;337;465;4;15;PH;1
05-016-2-004-U;AVILA;016;AR�VALO;2;004;U;700;205;337;465;4;15;FE;1
05-016-2-004-U;AVILA;016;AR�VALO;2;004;U;700;205;337;465;4;15;FA;0
05-017-1-001-U;AVILA;017;AVEINTE;1;001;U;102;43;62;79;0;2;PP;63
05-017-1-001-U;AVILA;017;AVEINTE;1;001;U;102;43;62;79;0;2;PSOE;9
05-017-1-001-U;AVILA;017;AVEINTE;1;001;U;102;43;62;79;0;2;IU-CyL;3
05-017-1-001-U;AVILA;017;AVEINTE;1;001;U;102;43;62;79;0;2;TC-PNC;2
05-017-1-001-U;AVILA;017;AVEINTE;1;001;U;102;43;62;79;0;2;PH;0
05-017-1-001-U;AVILA;017;AVEINTE;1;001;U;102;43;62;79;0;2;FE;0
05-017-1-001-U;AVILA;017;AVEINTE;1;001;U;102;43;62;79;0;2;FA;0
05-017-1-001-U;AVILA;017;AVEINTE;1;001;U;102;43;62;79;0;2;IZ.CA;0
05-017-1-001-U;AVILA;017;AVEINTE;1;001;U;102;43;62;79;0;2;IR;0
05-018-1-001-U;AVILA;018;AVELLANEDA;1;001;U;34;13;15;21;0;0;PP;13
05-018-1-001-U;AVILA;018;AVELLANEDA;1;001;U;34;13;15;21;0;0;PSOE;8
05-018-1-001-U;AVILA;018;AVELLANEDA;1;001;U;34;13;15;21;0;0;FA;0
05-018-1-001-U;AVILA;018;AVELLANEDA;1;001;U;34;13;15;21;0;0;TC-PNC;0
05-018-1-001-U;AVILA;018;AVELLANEDA;1;001;U;34;13;15;21;0;0;IR;0
05-018-1-001-U;AVILA;018;AVELLANEDA;1;001;U;34;13;15;21;0;0;IZ.CA;0
05-018-1-001-U;AVILA;018;AVELLANEDA;1;001;U;34;13;15;21;0;0;FE;0
05-018-1-001-U;AVILA;018;AVELLANEDA;1;001;U;34;13;15;21;0;0;PH;0
05-018-1-001-U;AVILA;018;AVELLANEDA;1;001;U;34;13;15;21;0;0;IU-CyL;0
05-019-1-001-A;AVILA;019;AVILA;1;001;A;618;243;352;451;12;12;PP;285
05-019-1-001-A;AVILA;019;AVILA;1;001;A;618;243;352;451;12;12;PSOE;89
05-019-1-001-A;AVILA;019;AVILA;1;001;A;618;243;352;451;12;12;IU-CyL;28
05-019-1-001-A;AVILA;019;AVILA;1;001;A;618;243;352;451;12;12;TC-PNC;11
05-019-1-001-A;AVILA;019;AVILA;1;001;A;618;243;352;451;12;12;IR;6
05-019-1-001-A;AVILA;019;AVILA;1;001;A;618;243;352;451;12;12;FE;4
05-019-1-001-A;AVILA;019;AVILA;1;001;A;618;243;352;451;12;12;PH;2
05-019-1-001-A;AVILA;019;AVILA;1;001;A;618;243;352;451;12;12;FA;2
05-019-1-001-A;AVILA;019;AVILA;1;001;A;618;243;352;451;12;12;IZ.CA;0
05-019-1-001-B;AVILA;019;AVILA;1;001;B;680;300;401;490;6;5;PP;315
05-019-1-001-B;AVILA;019;AVILA;1;001;B;680;300;401;490;6;5;PSOE;117
05-019-1-001-B;AVILA;019;AVILA;1;001;B;680;300;401;490;6;5;IU-CyL;23
05-019-1-001-B;AVILA;019;AVILA;1;001;B;680;300;401;490;6;5;TC-PNC;16
05-019-1-001-B;AVILA;019;AVILA;1;001;B;680;300;401;490;6;5;FE;4
05-019-1-001-B;AVILA;019;AVILA;1;001;B;680;300;401;490;6;5;IR;3
05-019-1-001-B;AVILA;019;AVILA;1;001;B;680;300;401;490;6;5;PH;1
05-019-1-001-B;AVILA;019;AVILA;1;001;B;680;300;401;490;6;5;FA;0
05-019-1-001-B;AVILA;019;AVILA;1;001;B;680;300;401;490;6;5;IZ.CA;0
05-019-2-001-A;AVILA;019;AVILA;2;001;A;797;312;466;603;10;17;PP;414
